st,sc,g,h,production
st3,sc7,solar,h18,154.70000000000005
st3,sc4,ocgt,h17,0.0
st3,sc4,ocgt,h18,0.0
st2,sc3,ccgt,h17,0.0
st2,sc1,solar,h22,0.0
st3,sc5,solar,h15,400.40000000000003
st2,sc1,wind,h08,225.0
st2,sc2,ocgt,h17,0.0
st2,sc2,ocgt,h15,0.0
st3,sc5,ccgt,h23,166.0
st3,sc11,ccgt,h16,67.09999999999991
st3,sc8,solar,h03,0.0
st2,sc1,solar,h23,0.0
st3,sc8,ocgt,h24,0.0
st3,sc10,solar,h04,0.0
st3,sc6,wind,h14,808.0
st3,sc11,ccgt,h03,0.0
st2,sc2,ocgt,h09,0.0
st3,sc7,solar,h24,0.0
st3,sc7,solar,h23,0.0
st3,sc5,ccgt,h19,466.0
st3,sc6,solar,h12,464.09999999999997
st3,sc9,solar,h18,0.0
st3,sc4,ccgt,h21,800.0
st2,sc2,ocgt,h03,0.0
st3,sc8,ccgt,h19,466.0
st3,sc6,ccgt,h13,0.0
st3,sc12,wind,h10,940.2000000000002
st3,sc4,solar,h22,0.0
st3,sc5,wind,h20,950.0
st3,sc8,wind,h21,1025.0
st3,sc12,ocgt,h07,0.0
st3,sc11,ccgt,h06,0.0
st2,sc1,ccgt,h20,739.0
st3,sc4,solar,h05,0.0
st2,sc1,solar,h09,455.0
st3,sc11,solar,h14,491.39999999999964
st3,sc4,ccgt,h05,698.0
st3,sc10,ccgt,h14,253.19999999999982
st2,sc1,ocgt,h02,0.0
st3,sc9,solar,h10,254.7999999999998
st3,sc11,ccgt,h14,0.0
st3,sc8,wind,h01,1188.0
st3,sc11,solar,h08,63.69999999999995
st3,sc8,wind,h16,875.0
st3,sc11,ocgt,h05,0.0
st3,sc11,solar,h15,400.4000000000001
st2,sc3,ocgt,h10,0.0
st3,sc5,ocgt,h02,0.0
st3,sc10,ccgt,h07,614.8
st3,sc9,ocgt,h21,0.0
st3,sc8,ocgt,h11,0.0
st3,sc8,solar,h12,518.6999999999996
st2,sc1,solar,h18,154.70000000000005
st3,sc8,ocgt,h04,0.0
st2,sc3,wind,h05,758.0
st3,sc4,wind,h20,375.0
st3,sc4,solar,h24,0.0
st3,sc11,ocgt,h22,0.0
st3,sc10,ccgt,h08,545.0
st3,sc8,ocgt,h09,0.0
st3,sc12,wind,h23,1316.0
st2,sc3,ccgt,h14,0.0
st3,sc8,ccgt,h17,235.70000000000005
st3,sc11,wind,h13,736.0999999999998
st2,sc3,ocgt,h09,0.0
st3,sc7,ocgt,h13,0.0
st3,sc9,ocgt,h15,0.0
st3,sc5,ccgt,h07,0.0
st3,sc8,ccgt,h23,166.0
